cluster,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
4,OGN,0,1.22,70.1%,13.0%,0
4,IGFBP5,0,1.17,88.2%,38.4%,0
4,POSTN,0,1.17,55.6%,13.1%,0
4,COL6A3,0,1.16,74.3%,16.6%,0
4,IGFBP4,0,1.14,94.4%,62.2%,0
4,ECM1,0,1.13,52.3%,5.2%,0
4,APOE,0,1.11,37.7%,7.4%,0
4,C11orf96,0,1.11,96.2%,53.8%,0
4,CKB,0,1.08,87.7%,58.8%,0
4,HSPB6,0,1.05,76.1%,23.9%,0
4,RASD1,0,1.04,58.1%,14.1%,0
4,ACKR3,0,1.03,50.9%,16.3%,0
4,NBL1,0,1.03,85.9%,44.5%,0
4,ID3,0,1.00,79.6%,50.7%,0
4,LGALS1,0,0.99,98.2%,64.2%,0
4,PRRX1,0,0.98,68.7%,17.0%,0
4,TMEM176A,0,0.98,60.6%,14.1%,0
4,OSR2,0,0.98,60.7%,14.3%,0
4,ADAMTS4,0,0.98,64.6%,22.4%,0
4,AXL,0,0.97,67.2%,20.3%,0
4,TMEM176B,0,0.95,65.6%,17.7%,0
4,LONRF2,0,0.95,69.0%,29.4%,0
4,IFITM1,0,0.94,64.6%,37.8%,0
4,GEM,0,0.94,57.0%,20.6%,0
4,ALDH1A1,0,0.93,77.5%,43.8%,0
4,KCNQ1OT1,0,0.92,55.0%,34.0%,0
4,FGF7,0,0.92,44.9%,13.8%,0
4,PGF,0,0.92,40.3%,9.3%,0
4,LUM,0,0.91,63.1%,12.9%,0
4,BST2,0,0.91,90.0%,56.3%,0
4,OLFML3,0,0.90,64.5%,16.3%,0
4,KLF9,0,0.89,79.0%,40.2%,0
4,DCN,0,0.89,97.6%,32.8%,0
4,ZNF331,0,0.87,81.1%,42.8%,0
4,SPARCL1,0,0.87,97.2%,56.0%,0
4,C1R,0,0.87,82.0%,34.6%,0
4,IGFBP6,0,0.87,88.7%,31.3%,0
4,PCOLCE,0,0.86,66.4%,14.1%,0
4,HELLPAR,0,0.85,37.6%,9.0%,0
4,TBX3,0,0.84,51.9%,10.8%,0
4,ALDH1A2,0,0.84,52.1%,18.5%,0
4,TNFAIP6,0,0.83,38.0%,7.8%,0
4,RARRES2,0,0.83,92.5%,56.8%,0
4,PAPPA,0,0.82,46.0%,8.1%,0
4,NID1,0,0.81,57.7%,13.6%,0
4,TIMP3,0,0.81,82.6%,39.8%,0
4,F10,0,0.80,60.2%,12.3%,0
4,NDN,0,0.80,66.3%,28.0%,0
4,IER5L,0,0.79,70.4%,43.6%,0
4,MXRA8,0,0.79,59.5%,13.4%,0
4,PGR,0,0.79,56.1%,23.4%,0
4,VASN,0,0.77,57.8%,27.2%,0
4,SELENOP,0,0.77,86.3%,62.5%,0
4,PDGFRA,0,0.76,58.2%,11.1%,0
4,PLEKHA5,0,0.75,56.5%,27.0%,0
4,PBX1,0,0.75,69.7%,46.6%,0
4,C1S,0,0.74,72.5%,22.6%,0
4,TSKU,0,0.74,51.3%,14.3%,0
4,SLC39A6,0,0.73,52.1%,24.0%,0
4,SMOC2,0,0.72,56.2%,15.6%,0
4,MEG8,0,0.72,34.8%,6.8%,0
4,ZNF516,0,0.71,50.8%,16.6%,0
4,LDLR,0,0.71,65.1%,40.0%,0
4,CPXM1,0,0.71,47.5%,8.0%,0
4,CHGB,0,0.71,23.4%,1.5%,0
4,FOXL2,0,0.70,42.2%,4.8%,0
4,MIR100HG,0,0.70,44.1%,15.6%,0
4,ADRA2C,0,0.70,38.0%,14.3%,0
4,OAT,0,0.70,63.5%,35.7%,0
5,DES,0,3.31,98.1%,18.0%,0
5,ACTG2,0,3.11,86.2%,11.8%,0
5,MYLK,0,2.73,99.0%,31.7%,0
5,CNN1,0,2.52,98.7%,23.0%,0
5,ACTA2,0,2.26,99.9%,46.6%,0
5,TPM2,0,2.16,99.9%,49.7%,0
5,TAGLN,0,2.16,99.9%,59.2%,0
5,MYH11,0,2.13,98.6%,18.4%,0
5,ZCCHC12,0,2.08,76.5%,6.8%,0
5,CSRP1,0,1.96,99.2%,64.8%,0
5,TPM1,0,1.85,99.6%,67.4%,0
5,MYL9,0,1.82,99.9%,64.3%,0
5,PDLIM3,0,1.66,91.9%,27.7%,0
5,SELENOM,0,1.62,98.8%,57.8%,0
5,FLNA,0,1.55,97.6%,53.5%,0
5,SMTN,0,1.48,87.9%,18.9%,0
5,TCEAL4,0,1.47,97.7%,69.4%,0
5,SYNPO2,0,1.46,87.8%,18.4%,0
5,TGFB1I1,0,1.44,92.1%,25.6%,0
5,CALD1,0,1.44,98.9%,62.8%,0
5,RAMP1,0,1.37,97.4%,34.3%,0
5,NEXN,0,1.27,76.9%,14.6%,0
5,MGP,0,1.25,98.6%,52.0%,0
5,LGALS1,0,1.23,99.6%,67.9%,0
5,TRDN,0,1.22,61.1%,2.4%,0
5,LPP,0,1.21,88.9%,43.0%,0
5,FHL1,0,1.18,90.5%,36.6%,0
5,LMOD1,0,1.18,80.1%,14.6%,0
5,SLMAP,0,1.16,72.6%,19.3%,0
5,PDLIM7,0,1.12,82.8%,25.5%,0
5,CRYAB,0,1.06,83.9%,44.1%,0
5,PLN,0,1.04,64.3%,6.1%,0
5,PLEKHO1,0,1.04,79.7%,27.0%,0
5,C11orf96,0,1.03,99.6%,58.3%,0
5,FBXO32,0,1.03,62.2%,15.4%,0
5,TCEAL3,0,1.02,86.6%,45.7%,0
5,TCEAL1,0,1.00,73.5%,27.6%,0
5,MRGPRF,0,0.97,69.2%,11.8%,0
5,PPP1R14A,0,0.97,68.2%,15.9%,0
5,RHOB,0,0.96,88.1%,54.0%,0
5,CES1,0,0.94,61.6%,10.8%,0
5,ILK,0,0.94,84.7%,42.7%,0
5,TCEAL2,0,0.93,58.7%,7.0%,0
5,RGS5,0,0.93,51.2%,9.7%,0
5,PPP1R12B,0,0.92,68.5%,16.5%,0
5,SVIL,0,0.91,79.0%,37.4%,0
5,PALLD,0,0.91,84.9%,39.4%,0
5,CD151,0,0.91,91.4%,61.5%,0
5,AOPEP,0,0.90,65.4%,29.2%,0
5,KCNMB1,0,0.89,60.7%,5.2%,0
5,SORBS1,0,0.89,60.0%,10.5%,0
5,ACTN1,0,0.89,84.1%,41.8%,0
5,RBP1,0,0.85,95.2%,66.8%,0
5,ATP2B4,0,0.85,71.0%,29.7%,0
5,SERTM1,0,0.84,67.8%,16.8%,0
5,TNFAIP8L3,0,0.84,60.2%,11.1%,0
5,ID4,0,0.84,83.4%,41.7%,0
5,CKB,0,0.83,94.0%,61.6%,0
5,MMP23B,0,0.82,59.0%,15.1%,0
5,PPP1R12A,0,0.81,83.3%,52.6%,0
5,FN1,0,0.80,70.5%,15.9%,0
5,TUBA1A,0,0.79,95.3%,72.3%,0
5,PTMS,0,0.78,97.6%,74.0%,0
5,PKIG,0,0.77,76.5%,34.7%,0
5,BCHE,0,0.77,54.7%,7.8%,0
5,HSPB8,0,0.77,63.3%,24.8%,0
5,CFL2,0,0.76,74.3%,39.0%,0
5,FILIP1,0,0.76,56.5%,13.7%,0
5,MFGE8,0,0.76,86.7%,49.8%,0
5,PSD,0,0.76,49.4%,6.4%,0
5,PGRMC1,0,0.75,81.6%,59.6%,0
5,FILIP1L,0,0.74,65.9%,27.3%,0
5,GRIA2,0,0.74,40.0%,0.8%,0
5,KANK2,0,0.73,69.1%,25.5%,0
5,GEM,0,0.72,66.6%,24.0%,0
5,LIMS2,0,0.70,57.7%,12.2%,0
5,TSPAN2,0,0.70,53.2%,11.2%,0
5,LAMA4,0,0.70,67.4%,23.8%,0
5,NUPR1,0,0.69,87.8%,54.0%,0
6,MT1M,0,3.17,97.2%,10.8%,0
6,MT1A,0,2.90,91.9%,10.0%,0
6,ADIRF,0,2.55,99.9%,69.4%,0
6,MT1X,0,2.49,94.6%,35.3%,0
6,MUSTN1,0,2.41,76.5%,4.9%,0
6,TAGLN,0,2.38,99.8%,60.5%,0
6,MYL9,0,2.38,100.0%,65.4%,0
6,PPP1R14A,0,2.28,97.3%,16.3%,0
6,TPM2,0,2.27,100.0%,51.2%,0
6,RERGL,0,2.18,88.8%,1.7%,0
6,MYH11,0,2.12,98.6%,20.9%,0
6,MCAM,0,2.12,97.7%,14.6%,0
6,ACTA2,0,2.05,100.0%,48.3%,0
6,MT2A,0,2.03,99.5%,61.5%,0
6,MT1E,0,2.03,89.6%,16.9%,0
6,C11orf96,0,2.00,100.0%,59.6%,0
6,RRAD,0,1.76,62.6%,31.8%,0
6,CH25H,0,1.70,46.9%,5.5%,0
6,SORBS2,0,1.69,89.9%,11.5%,0
6,CSRP2,0,1.67,93.9%,20.2%,0
6,HES4,0,1.65,99.5%,59.6%,0
6,PTP4A3,0,1.62,88.5%,15.5%,0
6,RHOB,0,1.60,97.0%,54.7%,0
6,ECRG4,0,1.58,68.8%,4.9%,0
6,C12orf75,0,1.58,81.6%,20.5%,0
6,PLN,0,1.58,89.9%,6.9%,0
6,APOLD1,0,1.55,88.2%,12.6%,0
6,PHLDA2,0,1.52,78.8%,32.6%,0
6,SNCG,0,1.50,88.4%,27.4%,0
6,CRIP1,0,1.46,98.6%,59.3%,0
6,SYNM,0,1.42,82.6%,10.2%,0
6,FLNA,0,1.40,97.9%,54.9%,0
6,CALD1,0,1.37,99.7%,63.9%,0
6,AVPR1A,0,1.36,65.7%,2.2%,0
6,FRZB,0,1.34,82.0%,2.2%,0
6,CPE,0,1.34,95.0%,26.5%,0
6,GJA4,0,1.34,75.7%,18.6%,0
6,CAVIN3,0,1.34,91.6%,36.2%,0
6,CDKN1A,0,1.33,98.9%,68.3%,0
6,CRYAB,0,1.32,93.2%,44.9%,0
6,DBNDD2,0,1.31,72.1%,31.2%,0
6,KLF2,0,1.29,94.9%,53.6%,0
6,FOXC1,0,1.26,72.6%,9.7%,0
6,SELENOM,0,1.24,99.0%,59.0%,0
6,RCAN2,0,1.24,77.9%,3.7%,0
6,CCDC107,0,1.24,91.8%,37.8%,0
6,NOTCH3,0,1.21,83.3%,12.7%,0
6,NTRK2,0,1.20,78.8%,1.7%,0
6,LMOD1,0,1.19,83.6%,16.5%,0
6,BGN,0,1.17,80.2%,11.1%,0
6,C1QTNF1,0,1.16,78.2%,6.2%,0
6,TPM1,0,1.16,99.3%,68.4%,0
6,IGFBP7,0,1.15,100.0%,79.0%,0
6,TINAGL1,0,1.15,82.9%,11.2%,0
6,SOD3,0,1.15,97.4%,41.7%,0
6,TNS1,0,1.12,83.4%,24.0%,0
6,CSRP1,0,1.11,98.2%,65.9%,0
6,LPP,0,1.11,90.0%,44.4%,0
6,FABP4,0,1.10,39.0%,1.4%,0
6,ATP1B3,0,1.09,95.7%,59.8%,0
6,MGST3,0,1.08,99.3%,76.8%,0
6,ALKAL2,0,1.06,43.4%,6.9%,0
6,NEXN,0,1.06,74.6%,16.6%,0
6,EFHD1,0,1.06,81.7%,15.1%,0
6,RRAS,0,1.05,93.0%,48.4%,0
6,MFGE8,0,1.04,95.7%,50.6%,0
6,BCAM,0,1.03,96.2%,41.4%,0
6,NDUFA4L2,0,1.03,35.2%,1.1%,0
6,SLC25A4,0,1.02,84.0%,39.7%,0
6,PDGFA,0,1.01,75.4%,27.1%,0
6,IL6,0,1.01,60.8%,16.5%,0
6,MAP1B,0,0.99,82.4%,23.5%,0
6,ARPC1A,0,0.98,88.4%,47.0%,0
6,LBH,0,0.98,75.6%,27.0%,0
6,CRIP2,0,0.97,94.6%,51.5%,0
6,NFIL3,0,0.96,94.5%,50.3%,0
6,SIVA1,0,0.95,89.7%,67.3%,0
6,CCDC3,0,0.95,69.8%,6.5%,0
6,ACTN4,0,0.94,93.9%,60.1%,0
6,CD151,0,0.94,92.2%,62.4%,0
6,COX7A1,0,0.91,87.5%,32.8%,0
6,WTIP,0,0.91,71.6%,17.7%,0
6,NRGN,0,0.90,62.0%,7.2%,0
6,PALLD,0,0.90,86.8%,40.7%,0
6,TLN1,0,0.89,86.2%,59.4%,0
6,CRISPLD2,0,0.88,96.5%,37.0%,0
6,MSRB3,0,0.87,77.8%,21.3%,0
6,NUPR1,0,0.87,92.6%,54.9%,0
6,HCFC1R1,0,0.87,83.9%,42.7%,0
6,GUCY1A1,0,0.87,64.7%,6.5%,0
6,CRIM1,0,0.87,74.4%,29.2%,0
6,CNN1,0,0.86,91.3%,25.6%,0
6,C2orf40,0,0.85,22.2%,0.6%,0
6,CAVIN1,0,0.85,93.0%,51.1%,0
6,PLEKHO1,0,0.85,76.7%,28.8%,0
6,KIAA0040,0,0.85,68.7%,30.0%,0
6,ZNF331,0,0.84,87.5%,47.9%,0
6,UAP1,0,0.84,73.3%,39.8%,0
6,GPX3,0,0.83,71.8%,24.6%,0
6,NR4A1,0,0.83,98.7%,74.0%,0
6,ADAMTS1,0,0.81,91.2%,46.2%,0
6,ITGA8,0,0.81,58.3%,3.4%,0
6,FXYD1,0,0.80,93.7%,49.5%,0
6,PDGFRB,0,0.79,69.3%,15.2%,0
6,SMARCD3,0,0.79,64.8%,16.2%,0
6,RASGRP2,0,0.78,62.3%,7.1%,0
6,CASQ2,0,0.78,57.4%,1.1%,0
6,RGS16,0,0.78,64.2%,20.8%,0
6,NOL3,0,0.78,59.5%,10.2%,0
6,CAV1,0,0.77,97.1%,53.0%,0
6,NT5DC2,0,0.77,63.2%,18.3%,0
6,ZNF141,0,0.76,56.0%,18.7%,0
6,CREM,0,0.76,93.3%,59.0%,0
6,AKAP12,0,0.76,86.9%,49.2%,0
6,ITGA7,0,0.76,57.1%,4.0%,0
6,A2M,0,0.75,87.4%,25.2%,0
6,FHL5,0,0.75,48.4%,0.4%,0
6,SPARCL1,0,0.75,99.7%,61.7%,0
6,ACKR3,0,0.75,69.2%,20.4%,0
6,ZNF503,0,0.75,66.2%,27.9%,0
6,KCNMB1,0,0.74,60.5%,6.9%,0
6,KCNAB1,0,0.74,53.9%,1.4%,0
6,CAV2,0,0.74,85.3%,39.3%,0
6,PPP1R12A,0,0.74,89.4%,53.3%,0
6,TBC1D1,0,0.73,71.0%,25.7%,0
6,SNHG15,0,0.73,76.9%,42.6%,0
6,RBPMS2,0,0.73,56.2%,5.3%,0
6,ZFHX3,0,0.72,65.1%,23.9%,0
6,FSTL3,0,0.72,65.7%,24.8%,0
6,TGFB1I1,0,0.71,78.6%,28.2%,0
6,SH3BGRL,0,0.71,94.7%,67.6%,0
6,MAP3K20,0,0.71,78.7%,37.2%,0
6,HEYL,0,0.70,63.2%,11.3%,0
6,ACTN1,0,0.70,82.7%,43.2%,0
6,EMD,0.00E+00,0.70,80.2%,48.9%,0.00E+00
6,H2AFJ,0.00E+00,0.70,82.8%,49.2%,0.00E+00
6,NR4A3,0,0.69,76.3%,30.6%,0
6,SYNPO2,0,0.69,73.6%,21.1%,0
6,ELOC,5.39E-279,0.73,85.9%,63.9%,1.69E-274
6,PDK4,2.80E-266,0.86,58.0%,28.3%,8.75E-262
7,SELE,0,3.10,62.6%,2.0%,0
7,ACKR1,0,2.99,76.9%,2.8%,0
7,CCL14,0,2.85,78.2%,6.9%,0
7,SOX18,0,2.22,83.7%,3.3%,0
7,C2CD4B,0,2.20,72.6%,8.5%,0
7,VWF,0,2.09,91.9%,1.5%,0
7,IFI27,0,2.05,97.8%,28.1%,0
7,AQP1,0,2.01,86.1%,3.6%,0
7,TM4SF1,0,1.97,97.2%,45.1%,0
7,EGFL7,0,1.89,87.2%,6.9%,0
7,SOX17,0,1.74,79.1%,18.3%,0
7,A2M,0,1.74,94.3%,22.5%,0
7,CSF3,0,1.74,50.8%,7.2%,0
7,THBD,0,1.62,87.2%,9.6%,0
7,CD93,0,1.61,87.0%,4.5%,0
7,PNP,0,1.61,85.2%,20.9%,0
7,FLT1,0,1.59,85.2%,1.5%,0
7,FAM110D,0,1.48,74.9%,1.0%,0
7,PECAM1,0,1.43,86.6%,7.7%,0
7,ADGRL4,0,1.42,85.5%,2.2%,0
7,EMCN,0,1.42,86.7%,4.7%,0
7,RAMP2,0,1.37,88.6%,14.5%,0
7,SPRY1,0,1.35,75.4%,28.3%,0
7,LIFR,0,1.35,80.4%,18.8%,0
7,GRASP,0,1.34,86.5%,14.5%,0
7,PIK3R3,0,1.33,73.7%,4.3%,0
7,HYAL2,0,1.32,82.7%,27.1%,0
7,ADAMTS9,0,1.32,74.8%,9.2%,0
7,ETS2,0,1.31,95.4%,57.0%,0
7,CLEC14A,0,1.31,78.2%,2.5%,0
7,ICAM1,0,1.30,78.2%,35.3%,0
7,MT2A,0,1.29,93.1%,60.7%,0
7,ID1,0,1.28,87.5%,45.7%,0
7,EMP1,0,1.28,95.9%,50.0%,0
7,ESAM,0,1.27,84.1%,4.0%,0
7,CLDN5,0,1.25,75.2%,5.8%,0
7,ENG,0,1.25,82.5%,14.5%,0
7,ENPP2,0,1.25,61.4%,10.7%,0
7,PLVAP,0,1.22,67.8%,0.7%,0
7,EPAS1,0,1.21,85.0%,22.7%,0
7,PDLIM1,0,1.20,95.2%,58.8%,0
7,STOM,0,1.18,92.5%,40.1%,0
7,NPDC1,0,1.18,91.8%,43.5%,0
7,CD59,0,1.17,96.9%,68.7%,0
7,ICAM2,0,1.16,70.7%,7.3%,0
7,CAV1,0,1.16,96.0%,51.6%,0
7,ID3,0,1.15,94.5%,52.8%,0
7,NOSTRIN,0,1.13,69.7%,4.6%,0
7,GNG11,0,1.13,96.7%,46.5%,0
7,CCL2,0,1.12,81.1%,54.0%,0
7,MT1X,0,1.12,81.1%,34.2%,0
7,SLC9A3R2,0,1.10,74.0%,28.7%,0
7,LRRC32,0,1.10,67.8%,7.4%,0
7,GJA1,0,1.10,72.0%,20.4%,0
7,RCAN1,0,1.07,57.6%,14.5%,0
7,ITM2A,0,1.07,85.4%,26.0%,0
7,TSC22D1,0,1.07,94.0%,66.9%,0
7,CCDC85B,0,1.06,94.1%,58.8%,0
7,TMEM70,0,1.05,76.1%,28.9%,0
7,SOCS3,0,1.05,95.7%,68.8%,0
7,VCAM1,0,1.03,34.9%,6.5%,0
7,RNASE1,0,0.99,90.8%,22.8%,0
7,APOLD1,0,0.99,74.7%,11.0%,0
7,BMPR2,0,0.98,78.8%,26.9%,0
7,TINAGL1,0,0.98,75.7%,9.2%,0
7,CD34,0,0.97,78.5%,11.8%,0
7,HLA-DRB1,0,0.97,93.6%,37.1%,0
7,SWAP70,0,0.96,78.6%,22.2%,0
7,PALM2-AKAP2,0,0.96,63.6%,16.3%,0
7,RND1,0,0.96,54.1%,6.9%,0
7,DLC1,0,0.95,80.0%,28.8%,0
7,DIPK2B,0,0.94,63.6%,3.8%,0
7,ECSCR,0,0.93,76.0%,5.3%,0
7,TSPAN7,0,0.92,70.4%,5.7%,0
7,CYYR1,0,0.91,68.6%,4.2%,0
7,FAM107A,0,0.91,73.3%,27.4%,0
7,TMEM88,0,0.90,63.4%,6.2%,0
7,NDRG1,0,0.90,78.2%,32.7%,0
7,RFLNB,0,0.90,59.0%,4.9%,0
7,CD74,0,0.90,98.1%,54.8%,0
7,NES,0,0.89,66.2%,12.6%,0
7,UPP1,0,0.89,63.0%,11.9%,0
7,CRIP2,0,0.88,91.5%,50.2%,0
7,TGFBR2,0,0.88,78.3%,22.9%,0
7,TCF4,0,0.87,86.1%,36.4%,0
7,OLFM1,0,0.85,57.9%,6.5%,0
7,PMP22,0,0.85,78.3%,36.8%,0
7,PTPRB,0,0.85,59.9%,3.3%,0
7,ATP1A1,0,0.85,84.1%,49.0%,0
7,MSN,0,0.85,88.2%,51.8%,0
7,SLCO2A1,0,0.84,53.0%,2.7%,0
7,IL6,0,0.84,47.5%,16.0%,0
7,MYH9,0,0.84,88.0%,51.8%,0
7,ADGRG1,0,0.83,67.1%,11.2%,0
7,SLC2A3,0,0.83,83.2%,34.4%,0
7,PALMD,0,0.82,58.0%,9.7%,0
7,VWA1,0,0.82,72.7%,25.5%,0
7,EHD4,0,0.81,74.4%,24.5%,0
7,LUZP1,0,0.80,73.8%,22.7%,0
7,PODXL,0,0.80,60.0%,17.3%,0
7,RALGDS,0,0.80,73.6%,31.3%,0
7,MMRN2,0,0.80,59.3%,1.5%,0
7,HSPG2,0,0.80,70.5%,22.6%,0
7,ADAM15,0,0.79,65.0%,12.3%,0
7,TPM3,0,0.79,93.6%,66.7%,0
7,RASIP1,0,0.79,67.9%,9.4%,0
7,LCN6,0,0.78,49.6%,0.5%,0
7,PLEKHO2,0,0.78,63.0%,11.9%,0
7,LEPR,0,0.78,58.0%,5.6%,0
7,NNMT,0,0.77,63.4%,25.8%,0
7,ABCB1,0,0.77,57.8%,3.2%,0
7,FOXC1,0,0.77,60.2%,8.5%,0
7,ERG,0,0.76,61.8%,3.7%,0
7,CALCRL,0,0.75,63.6%,9.5%,0
7,ABCG2,0,0.75,54.3%,5.9%,0
7,TM4SF18,0,0.75,56.1%,3.8%,0
7,NEDD9,0,0.74,70.9%,27.4%,0
7,RAMP3,0,0.74,53.2%,2.0%,0
7,VAMP5,0,0.74,82.2%,38.9%,0
7,FAM43A,0,0.73,53.5%,11.9%,0
7,CDH5,0,0.73,60.6%,3.9%,0
7,LAP3,0,0.73,74.7%,33.4%,0
7,ADGRF5,0,0.73,50.0%,2.8%,0
7,INSIG1,0,0.73,54.4%,17.8%,0
7,NRN1,0,0.73,60.3%,3.7%,0
7,ADAMTS4,0,0.73,62.6%,27.2%,0
7,SPARCL1,0,0.72,99.1%,60.4%,0
7,JAM2,0,0.72,61.6%,8.6%,0
7,RGS16,0,0.72,50.5%,20.3%,0
7,S1PR1,0,0.72,54.6%,3.3%,0
7,SOCS2,0,0.72,65.2%,23.9%,0
7,CDKN1A,0,0.72,90.8%,67.9%,0
7,CAVIN2,0,0.72,83.7%,15.5%,0
7,SEMA6B,0,0.71,56.2%,1.9%,0
7,GIMAP7,0,0.71,55.1%,7.3%,0
7,KLF2,0,0.71,89.9%,52.5%,0
7,ROBO4,0,0.71,58.7%,3.7%,0
7,CASKIN2,0,0.70,57.3%,5.6%,0
7,SDCBP,0,0.70,93.8%,67.7%,0
7,SOX7,0,0.70,43.2%,2.1%,0
7,LRG1,0,0.70,48.3%,21.1%,0
7,MSX1,0,0.70,55.4%,12.4%,0
7,IL6ST,0,0.70,85.7%,53.8%,0
7,LMCD1,0,0.69,67.0%,22.8%,0
8,CCL21,0,5.30,99.4%,3.5%,0
8,MMRN1,0,3.22,98.6%,2.4%,0
8,CAVIN2,0,3.13,99.3%,16.7%,0
8,TFF3,0,2.91,98.0%,6.4%,0
8,TFPI,0,2.46,99.1%,23.3%,0
8,CLDN5,0,2.39,94.5%,6.9%,0
8,PPFIBP1,0,2.30,98.3%,32.7%,0
8,GNG11,0,2.16,99.2%,47.8%,0
8,FABP5,0,1.94,82.0%,10.9%,0
8,LYVE1,0,1.86,77.8%,3.2%,0
8,ECSCR,0,1.76,93.8%,6.5%,0
8,PROX1,0,1.71,82.0%,2.1%,0
8,AKAP12,0,1.67,95.5%,48.6%,0
8,CAV1,0,1.66,95.9%,52.8%,0
8,EMP1,0,1.63,97.4%,51.2%,0
8,ELK3,0,1.62,91.3%,23.1%,0
8,APOLD1,0,1.58,87.2%,12.2%,0
8,RAMP2,0,1.56,89.2%,16.6%,0
8,NNMT,0,1.54,92.0%,25.5%,0
8,NRP2,0,1.52,86.1%,16.5%,0
8,SPTBN1,0,1.45,94.9%,44.7%,0
8,CALCRL,0,1.43,83.4%,10.1%,0
8,KANK3,0,1.40,89.8%,6.3%,0
8,STMN1,0,1.40,89.1%,31.0%,0
8,RGS16,0,1.39,78.2%,19.9%,0
8,PRSS23,0,1.36,87.1%,21.1%,0
8,FXYD6,0,1.36,89.3%,17.0%,0
8,MTUS1,0,1.35,84.1%,20.7%,0
8,UTRN,0,1.34,89.5%,46.7%,0
8,ANGPT2,0,1.30,58.6%,4.2%,0
8,IGFBP7,0,1.30,99.6%,78.9%,0
8,CD59,0,1.30,97.9%,69.4%,0
8,TBX1,0,1.28,82.1%,1.5%,0
8,SLC24A1,0,1.28,73.3%,2.6%,0
8,APP,0,1.27,95.6%,57.4%,0
8,CNKSR3,0,1.26,75.2%,8.2%,0
8,KLF4,0,1.26,92.9%,50.1%,0
8,NR2F1,0,1.25,92.2%,34.8%,0
8,ARHGAP29,0,1.23,87.5%,29.7%,0
8,TGFBR2,0,1.20,89.6%,23.9%,0
8,KLF6,0,1.19,96.9%,72.4%,0
8,HES1,0,1.19,80.4%,43.7%,0
8,LMO2,0,1.19,81.0%,7.3%,0
8,HYAL2,0,1.18,85.5%,28.5%,0
8,GYPC,0,1.17,95.8%,52.7%,0
8,PDPN,0,1.16,79.4%,10.5%,0
8,PALM2-AKAP2,0,1.14,75.3%,17.1%,0
8,PCAT19,0,1.14,76.7%,8.4%,0
8,BMP2,0,1.13,66.9%,6.6%,0
8,FSCN1,0,1.12,77.8%,12.7%,0
8,RHOJ,0,1.11,75.4%,7.4%,0
8,DSP,0,1.11,82.4%,26.7%,0
8,LAYN,0,1.10,77.0%,13.9%,0
8,RAB11A,0,1.09,93.8%,48.7%,0
8,COLEC12,0,1.08,77.8%,8.0%,0
8,ANXA2,0,1.07,99.0%,78.9%,0
8,PGM5,0,1.07,77.5%,13.0%,0
8,ADD3,0,1.07,85.8%,33.8%,0
8,MAF,0,1.06,84.2%,23.2%,0
8,EFEMP1,0,1.06,79.2%,24.0%,0
8,KLF2,0,1.06,88.2%,53.7%,0
8,RCAN1,0,1.05,58.9%,15.6%,0
8,TM4SF18,0,1.05,69.1%,4.7%,0
8,SLC9A3R2,0,1.04,81.6%,29.6%,0
8,GPM6A,0,1.04,72.4%,2.5%,0
8,TM4SF1,0,1.04,96.3%,46.6%,0
8,PECAM1,0,1.03,81.0%,10.2%,0
8,TCF4,0,1.03,86.7%,37.8%,0
8,GJA1,0,1.02,77.8%,21.6%,0
8,MRC1,0,1.01,74.4%,3.2%,0
8,THBD,0,1.01,72.1%,12.4%,0
8,ARL4A,0,1.01,82.6%,30.0%,0
8,LIMS1,0,1.01,90.0%,51.2%,0
8,TIMP3,0,1.00,98.2%,44.9%,0
8,SHC1,0,1.00,80.6%,21.4%,0
8,PPP1R2,0,0.99,89.0%,49.3%,0
8,WWTR1,0,0.99,82.3%,33.6%,0
8,GNAI2,0,0.98,94.7%,69.5%,0
8,VPS35L,0,0.98,72.2%,10.3%,0
8,F8,0,0.98,67.7%,4.9%,0
8,IL6ST,0,0.98,92.9%,54.3%,0
8,RELN,0,0.97,61.6%,0.4%,0
8,EMCN,0,0.97,76.0%,7.5%,0
8,NDRG1,0,0.97,86.1%,33.6%,0
8,LOX,0,0.97,63.2%,4.6%,0
8,ARL6IP1,0,0.96,93.3%,63.9%,0
8,FLT4,0,0.96,67.5%,1.9%,0
8,PXDC1,0,0.96,80.2%,27.4%,0
8,CNN3,0,0.95,94.1%,62.9%,0
8,MARCKS,0,0.94,93.2%,48.1%,0
8,NFATC2,0,0.94,61.9%,10.1%,0
8,EDNRB,0,0.93,69.6%,3.6%,0
8,CDH5,0,0.93,70.5%,5.1%,0
8,DKK3,0,0.93,61.4%,12.0%,0
8,CRIP2,0,0.91,93.8%,51.3%,0
8,CYTOR,0,0.91,74.7%,29.2%,0
8,DIPK2B,0,0.91,67.3%,5.4%,0
8,PHLDA1,0,0.91,83.9%,31.6%,0
8,SEMA6A,0,0.89,69.1%,10.5%,0
8,PKHD1L1,0,0.89,70.8%,6.1%,0
8,HOMER3,0,0.89,64.1%,7.5%,0
8,CREB5,0,0.89,66.8%,13.4%,0
8,CCL14,0,0.89,66.8%,9.4%,0
8,NR2F2,0,0.88,85.7%,37.9%,0
8,CAV2,0,0.88,85.7%,39.0%,0
8,PTPRE,0,0.88,73.4%,12.6%,0
8,SLC38A2,0,0.88,85.4%,44.0%,0
8,SEMA3D,0,0.87,61.8%,5.7%,0
